Sample,GPSC
6259_5#14,147
6259_6#19,40
6259_6#7,63
6259_6#8,63
6259_7#11,66
6259_7#18,118
6259_8#13,42
6259_8#8,174
6593_4#15,130
6593_5#22,127
6630_2#20,66
6630_3#4,128
6630_4#14,1
6630_4#20,66
6630_4#6,123
6630_4#8,45
6631_3#1,37
6631_4#23,151
6631_4#4,106
6631_4#6,16
6631_5#13,107
6631_5#24,66
6631_5#9,149
6631_6#22,172
6631_6#8,73
6631_7#11,172
6649_7#15,51
6649_8#12,91
6649_8#1,42
6664_1#11,149
6664_1#1,172
6673_8#7,130
6680_4#17,154
6680_4#1,1
6680_4#20,66
6680_4#21,1
6680_4#6,166
6680_6#17,1
6680_6#4,188
6680_7#1,1
6680_8#20,63
6680_8#4,128
6710_6#11,42
6710_6#20,1
6710_7#22,66
6710_8#11,1
6710_8#1,187
6710_8#20,20
6710_8#9,1
6714_7#21,66
6714_7#7,8
6714_8#4,66
6730_1#6,1
6730_3#24,66
6730_3#9,118
6730_5#17,1
6730_5#5,107
6730_6#2,2
6730_7#23,222
6730_8#21,167
6731_1#9,14
6731_2#6,107
6731_3#14,1
6731_3#17,40
6731_3#18,63
6731_4#15,66
6731_5#21,1
6731_5#3,1
6731_6#11,107
6736_5#12,40
6736_5#4,66
6736_7#12,1
6736_7#22,1
6753_1#23,186
6753_2#8,1
6753_3#16,16
6753_4#13,71
6753_4#6,69
6755_1#13,57
6755_2#11,1
6755_2#21,154
6755_3#18,245
6755_4#23,1
6755_4#4,1
6755_5#13,107
6755_5#19,110
6755_5#1,16
6755_5#20,82
6775_1#19,137
6775_1#23,1
6775_2#15,16
6775_2#24,1
6775_2#4,66
6805_2#24,71
6805_2#7,1
6805_3#1,73
6805_3#7,110
6805_4#16,20
6805_4#3,69
6805_4#5,1
6805_5#10,69
6805_5#16,1
6805_6#11,23
6805_7#4,150
6807_1#11,84
6807_2#16,1
6807_3#22,1
6823_1#11,127
6823_2#18,1
6823_2#21,167
6823_3#22,1
6823_5#19,187
6823_5#6,1
6823_5#8,14
6823_6#7,63
6823_7#12,16
6823_7#17,14
6830_3#1,167
6840_1#21,128
6840_3#24,1
6840_3#8,14
6841_7#10,107
6841_7#14,37
6871_1#9,130
6899_4#4,63
6899_5#15,1
6899_5#16,47
6899_5#2,48
6899_5#8,1
6899_6#21,1
6899_7#14,16
6899_7#9,23
6925_3#11,1
6925_3#17,25
6925_3#8,1
6925_4#19,6
6925_4#20,1
6925_4#4,107
6925_5#22,123
6925_6#7,28
6925_7#13,48
6925_7#2,66
6925_8#4,66
6925_8#9,137
6938_6#14,1
6938_6#15,186
6938_8#11,138
6949_2#8,25
6949_3#11,1
6972_2#7,69
6972_4#17,151
6972_4#23,1
6972_5#16,69
6983_2#12,57
6983_2#15,203
6983_2#17,110
6983_2#24,107
6983_3#54,91
6983_4#77,1
6983_4#90,203
6983_4#95,66
6983_5#22,66
6983_5#6,63
6983_6#34,1
6983_6#37,110
6983_7#50,1
6983_7#62,73
6983_7#71,16
6983_8#88,203
6983_8#94,405
7004_5#18,1
7004_6#29,43
7004_7#55,1
7004_8#74,122
7004_8#91,167
7011_4#1,1
7011_4#6,71
7011_6#1,1
7011_6#20,1
7038_4#10,149
7038_4#21,66
7038_4#8,42
7038_5#2,16
7038_5#9,42
7038_6#16,127
7038_6#6,122
7038_7#9,69
7054_4#1,1
7054_4#6,1
7054_4#8,28
7054_5#15,1
7054_5#21,127
7054_5#6,1
7054_6#1,69
7068_4#16,23
7068_4#2,1
7092_6#11,63
7092_6#15,1
7092_6#20,1
7092_6#23,28
