Sample	Resistance
6259_5#14	S
6259_6#7	S
6259_6#8	S
6259_6#19	S
6259_7#11	NF
6259_7#18	R
6259_8#8	S
6259_8#13	R
6593_4#15	S
6593_5#22	S
6630_2#20	NF
6630_3#4	S
6630_4#6	S
6630_4#8	S
6630_4#14	R
6630_4#20	NF
6631_3#1	S
6631_4#4	S
6631_4#6	R
6631_4#23	S
6631_5#9	S
6631_5#13	S
6631_5#24	NF
6631_6#8	S
6631_6#22	S
6631_7#11	S
6649_7#15	S
6649_8#1	R
6649_8#12	S
6664_1#1	S
6664_1#11	S
6673_8#7	S
6680_4#1	R
6680_4#6	S
6680_4#17	S
6680_4#20	NF
6680_4#21	R
6680_6#4	S
6680_6#17	R
6680_7#1	R
6680_8#4	S
6680_8#20	S
6710_6#11	R
6710_6#20	R
6710_7#22	NF
6710_8#1	S
6710_8#9	R
6710_8#11	R
6710_8#20	S
6714_7#7	S
6714_7#21	NF
6714_8#4	NF
6730_1#6	R
6730_3#9	R
6730_3#24	NF
6730_5#5	S
6730_5#17	R
6730_6#2	S
6730_7#23	S
6730_8#21	S
6731_1#9	R
6731_2#6	S
6731_3#14	R
6731_3#17	S
6731_3#18	S
6731_4#15	NF
6731_5#3	R
6731_5#21	R
6731_6#11	S
6736_5#4	R
6736_5#12	S
6736_7#12	R
6736_7#22	R
6753_1#23	S
6753_2#8	R
6753_3#16	R
6753_4#6	S
6753_4#13	S
6755_1#13	S
6755_2#11	R
6755_2#21	S
6755_3#18	S
6755_4#4	R
6755_4#23	R
6755_5#1	R
6755_5#13	S
6755_5#19	S
6755_5#20	S
6775_1#19	S
6775_1#23	R
6775_2#4	NF
6775_2#15	R
6775_2#24	R
6805_2#7	R
6805_2#24	S
6805_3#1	S
6805_3#7	S
6805_4#3	S
6805_4#5	R
6805_4#16	S
6805_5#10	S
6805_5#16	R
6805_6#11	R
6805_7#4	S
6807_1#11	S
6807_2#16	R
6807_3#22	R
6823_1#11	S
6823_2#18	R
6823_2#21	S
6823_3#22	R
6823_5#6	R
6823_5#8	R
6823_5#19	S
6823_6#7	S
6823_7#12	R
6823_7#17	R
6830_3#1	S
6840_1#21	S
6840_3#8	R
6840_3#24	R
6841_7#10	S
6841_7#14	S
6871_1#9	S
6899_4#4	S
6899_5#2	R
6899_5#8	R
6899_5#15	R
6899_5#16	R
6899_6#21	R
6899_7#9	R
6899_7#14	R
6925_3#8	R
6925_3#11	R
6925_3#17	S
6925_4#4	S
6925_4#19	R
6925_4#20	R
6925_5#22	S
6925_6#7	R
6925_7#2	NF
6925_7#13	S
6925_8#4	NF
6925_8#9	S
6938_6#14	R
6938_6#15	S
6938_8#11	S
6949_2#8	S
6949_3#11	R
6972_2#7	S
6972_4#17	S
6972_4#23	R
6972_5#16	S
6983_2#12	S
6983_2#15	S
6983_2#17	S
6983_2#24	S
6983_3#54	S
6983_4#77	R
6983_4#90	S
6983_4#95	NF
6983_5#6	S
6983_5#22	NF
6983_6#34	R
6983_6#37	S
6983_7#50	R
6983_7#62	S
6983_7#71	R
6983_8#88	S
6983_8#94	S
7004_5#18	R
7004_6#29	S
7004_7#55	R
7004_8#74	S
7004_8#91	S
7011_4#1	R
7011_4#6	S
7011_6#1	R
7011_6#20	R
7038_4#8	R
7038_4#10	S
7038_4#21	NF
7038_5#2	R
7038_5#9	R
7038_6#6	S
7038_6#16	S
7038_7#9	S
7054_4#1	R
7054_4#6	R
7054_4#8	R
7054_5#6	R
7054_5#15	R
7054_5#21	R
7054_6#1	S
7068_4#2	R
7068_4#16	R
7092_6#11	S
7092_6#15	R
7092_6#20	R
7092_6#23	R
