Sample	Resistance
6259_5#14	0
6259_6#7	0
6259_6#8	0
6259_6#19	0
6259_7#11	0
6259_7#18	1
6259_8#8	0
6259_8#13	1
6593_4#15	0
6593_5#22	0
6630_2#20	0
6630_3#4	0
6630_4#6	0
6630_4#8	0
6630_4#14	1
6630_4#20	0
6631_3#1	0
6631_4#4	0
6631_4#6	1
6631_4#23	0
6631_5#9	0
6631_5#13	0
6631_5#24	0
6631_6#8	0
6631_6#22	0
6631_7#11	0
6649_7#15	0
6649_8#1	1
6649_8#12	0
6664_1#1	0
6664_1#11	0
6673_8#7	0
6680_4#1	1
6680_4#6	0
6680_4#17	0
6680_4#20	0
6680_4#21	1
6680_6#4	0
6680_6#17	1
6680_7#1	1
6680_8#4	0
6680_8#20	0
6710_6#11	1
6710_6#20	1
6710_7#22	0
6710_8#1	0
6710_8#9	1
6710_8#11	1
6710_8#20	0
6714_7#7	0
6714_7#21	0
6714_8#4	0
6730_1#6	1
6730_3#9	1
6730_3#24	0
6730_5#5	0
6730_5#17	1
6730_6#2	0
6730_7#23	0
6730_8#21	0
6731_1#9	1
6731_2#6	0
6731_3#14	1
6731_3#17	0
6731_3#18	0
6731_4#15	0
6731_5#3	1
6731_5#21	1
6731_6#11	0
6736_5#4	1
6736_5#12	0
6736_7#12	1
6736_7#22	1
6753_1#23	0
6753_2#8	1
6753_3#16	1
6753_4#6	0
6753_4#13	0
6755_1#13	0
6755_2#11	1
6755_2#21	0
6755_3#18	0
6755_4#4	1
6755_4#23	1
6755_5#1	1
6755_5#13	0
6755_5#19	0
6755_5#20	0
6775_1#19	0
6775_1#23	1
6775_2#4	0
6775_2#15	1
6775_2#24	1
6805_2#7	1
6805_2#24	0
6805_3#1	0
6805_3#7	0
6805_4#3	0
6805_4#5	1
6805_4#16	0
6805_5#10	0
6805_5#16	1
6805_6#11	1
6805_7#4	0
6807_1#11	0
6807_2#16	1
6807_3#22	1
6823_1#11	0
6823_2#18	1
6823_2#21	0
6823_3#22	1
6823_5#6	1
6823_5#8	1
6823_5#19	0
6823_6#7	0
6823_7#12	1
6823_7#17	1
6830_3#1	0
6840_1#21	0
6840_3#8	1
6840_3#24	1
6841_7#10	0
6841_7#14	0
6871_1#9	0
6899_4#4	0
6899_5#2	1
6899_5#8	1
6899_5#15	1
6899_5#16	1
6899_6#21	1
6899_7#9	1
6899_7#14	1
6925_3#8	1
6925_3#11	1
6925_3#17	0
6925_4#4	0
6925_4#19	1
6925_4#20	1
6925_5#22	0
6925_6#7	1
6925_7#2	0
6925_7#13	0
6925_8#4	0
6925_8#9	0
6938_6#14	1
6938_6#15	0
6938_8#11	0
6949_2#8	0
6949_3#11	1
6972_2#7	0
6972_4#17	0
6972_4#23	1
6972_5#16	0
6983_2#12	0
6983_2#15	0
6983_2#17	0
6983_2#24	0
6983_3#54	0
6983_4#77	1
6983_4#90	0
6983_4#95	0
6983_5#6	0
6983_5#22	0
6983_6#34	1
6983_6#37	0
6983_7#50	1
6983_7#62	0
6983_7#71	1
6983_8#88	0
6983_8#94	0
7004_5#18	1
7004_6#29	0
7004_7#55	1
7004_8#74	0
7004_8#91	0
7011_4#1	1
7011_4#6	0
7011_6#1	1
7011_6#20	1
7038_4#8	1
7038_4#10	0
7038_4#21	0
7038_5#2	1
7038_5#9	1
7038_6#6	0
7038_6#16	0
7038_7#9	0
7054_4#1	1
7054_4#6	1
7054_4#8	1
7054_5#6	1
7054_5#15	1
7054_5#21	1
7054_6#1	0
7068_4#2	1
7068_4#16	1
7092_6#11	0
7092_6#15	1
7092_6#20	1
7092_6#23	1
